,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000011304,0.072344966,0.087944664,0.0633633,0.09962161,0.0740796,0.05060669,0.049708605,0.11516285,0.053997744,0.0987219,0.073778264,0.073341936,0.0873279
ENSG00000172232,0.011104617,0.011104617,0.42929527,0.011104617,0.15485401,0.09118366,0.091642186,0.011104617,0.011104617,0.011104617,0.14418784,0.011104617,0.011104617
ENSG00000197766,0.13786995,0.00410507,0.00410507,0.00410507,0.22112848,0.016933892,0.084434696,0.00410507,0.00410507,0.00410507,0.04335292,0.28769186,0.18395782
ENSG00000175221,0.07778775,0.0769244,0.065523446,0.06992207,0.071335085,0.06919022,0.06961823,0.13075837,0.07931602,0.09893582,0.062013052,0.042680576,0.08599493
ENSG00000198858,0.042283047,0.039952878,0.0699631,0.051672816,0.10314246,0.060606446,0.058588006,0.123649016,0.024007926,0.06501597,0.11195484,0.1356089,0.11355457
ENSG00000116017,0.07224736,0.02410594,0.07488736,0.030771075,0.11197,0.11277078,0.080578804,0.08759808,0.04287265,0.041765817,0.119990245,0.09511637,0.105325505
ENSG00000065268,0.106349215,0.05165769,0.01647172,0.036683664,0.09430644,0.108089015,0.115907416,0.00013268749,0.030290771,0.059439357,0.11605413,0.16341263,0.10120523
ENSG00000116032,0.060111623,0.0052153314,0.0052153314,0.0052153314,0.03479775,0.0052153314,0.06709088,0.0052153314,0.2975861,0.4250504,0.078855984,0.0052153314,0.0052153314
ENSG00000182087,0.09930713,0.098520316,0.065216534,0.06026156,0.059463173,0.060401917,0.04719778,0.17027187,0.063641645,0.05734579,0.09148667,0.0559931,0.070892505
ENSG00000064666,0.0136697395,0.21493304,0.10944038,0.029030563,0.045666233,0.055313908,0.07994399,0.000108513086,0.15101027,0.07416696,0.077384,0.08680304,0.062529296
ENSG00000064687,0.12211157,0.082839794,0.03534019,0.069198675,0.06967949,0.09253694,0.100051515,0.08046743,0.039491978,0.08083467,0.084109955,0.06370544,0.079632305
ENSG00000180448,0.0068278075,0.00023842618,0.009583603,0.08962848,0.004277124,0.0021264092,0.0018905638,0.8445462,0.013540825,0.00023842618,0.014370822,0.012492959,0.00023842618
ENSG00000099817,0.11349065,0.028960083,0.05312349,0.045109265,0.07313914,0.05924751,0.08091184,0.19217561,0.032864038,0.039656326,0.10357395,0.08113055,0.096617565
ENSG00000167468,0.14284289,0.1200949,0.047124024,0.042512268,0.08103818,0.056810815,0.057635967,0.05642695,0.04698308,0.05508286,0.1007226,0.098600656,0.09412482
ENSG00000064932,0.07090663,0.08984257,0.06369701,0.14533772,0.06762374,0.061645452,0.06832127,0.05388988,0.0383783,0.09331553,0.08334399,0.0766373,0.08706061
ENSG00000118046,0.08551583,0.02658006,0.028654637,0.040736742,0.10819632,0.09344386,0.09325211,0.06289592,0.09007448,0.05369827,0.12768976,0.08258246,0.106679596
